rank,company,industry,city,state,zip,website,employees,revenue_in_millions_usd,valuation_in_millions_usd,profits_in_millions_usd,profits_percent_of_sales,symbol,ceo
18,Valero Energy,Petroleum Refining,San Antonio,Texas,78249,www.valero.com,9743,171189,51351,11528,6.7,VLO,Joseph W. Gorder
19,Ford Motor,Motor Vehicles & Parts,Dearborn,Michigan,48126,www.ford.com,173000,158057,50400,-1981,-1.3,F,Jim Farley
20,Home Depot,Specialty Retailers: Other,Atlanta,Georgia,30339,www.homedepot.com,471600,157403,299534,17105,10.9,HD,Ted Decker
21,General Motors,Motor Vehicles & Parts,Detroit,Michigan,48265,www.gm.com,167000,156735,51155,9934,6.3,GM,Mary T. Barra
22,Elevance Health,Health Care: Insurance and Managed Care,Indianapolis,Indiana,46204,www.elevancehealth.com,102300,156595,109098,6025,3.8,ELV,Gail K. Boudreaux
23,JPMorgan Chase,Commercial Banks,New York,New York,10179,www.jpmorganchase.com,293723,154792,383549,37676,24.3,JPM,Jamie Dimon
24,Kroger,Food and Drug Stores,Cincinnati,Ohio,45202,www.thekrogerco.com,430000,148258,35421,2244,1.5,KR,Rodney Mcmullen
25,Centene,Health Care: Insurance and Managed Care,St. Louis,Missouri,63105,www.centene.com,74300,144547,34810,1202,0.8,CNC,Sarah M. London
26,Verizon Communications,Telecommunications,New York,New York,10036,www.verizon.com,117100,136835,163333,21256,15.5,VZ,Hans E. Vestberg
27,Walgreens Boots Alliance,Food and Drug Stores,Deerfield,Illinois,60015,www.walgreensbootsalliance.com,262500,132703,29836,4337,3.3,WBA,Roz Brewer
28,Fannie Mae,Diversified Financials,Washington,District of Columbia,20005,www.fanniemae.com,8000,121596,475,12923,10.6,FNMA,Priscilla Almodovar
29,Comcast,Telecommunications,Philadelphia,Pennsylvania,19103,www.comcastcorporation.com,186000,121427,159831,5370,4.4,CMCSA,Brian L. Roberts
30,AT&T,Telecommunications,Dallas,Texas,75202,www.att.com,160700,120741,137250,-8524,-7.1,T,John T. Stankey
31,Meta Platforms,Internet Services and Retailing,Menlo Park,California,94025,www.fb.com,86482,116609,549484,23200,19.9,META,Mark Zuckerberg
32,Bank of America,Commercial Banks,Charlotte,North Carolina,28255,www.bankofamerica.com,216823,115053,228780,27528,23.9,BAC,
33,Target,General Merchandisers,Minneapolis,Minnesota,55403,www.target.com,440000,109120,76250,2780,2.5,TGT,Brian C. Cornell
34,Dell Technologies,"Computers, Office Equipment",Round Rock,Texas,78682,www.delltechnologies.com,133000,102301,29402,2442,2.4,DELL,Michael S. Dell
35,Archer Daniels Midland,Food Production,Chicago,Illinois,60601,www.adm.com,41181,101556,43530,4340,4.3,ADM,Juan R. Luciano
36,Citigroup,Commercial Banks,New York,New York,10013,www.citigroup.com,238104,101078,91270,14845,14.7,C,Jane Fraser
